split,model,n,MAE,RMSE,R2
leave_hectares_1_out,reference_total_yield_rf,250,5729.354713168133,5732.36399562629,-1319.5907714829802
leave_hectares_2_out,reference_total_yield_rf,399,4121.163188251664,4148.1475634226945,-167.39127698139353
leave_hectares_3_out,reference_total_yield_rf,490,3677.113908008941,3738.016741077638,-62.23202159772141
leave_hectares_4_out,reference_total_yield_rf,600,6521.072924305092,6619.5621791521335,-40.90978610017975
leave_hectares_5_out,reference_total_yield_rf,850,4520.154952094703,4666.828124236089,-28.7336237040568
leave_hectares_6_out,reference_total_yield_rf,200,5309.456585137119,5547.963356650198,-10.28632311874999
