split,model,n,MAE,RMSE,R2
random_seed_0,reference_total_yield_rf,558,571.5267861382376,779.3341281381256,0.9930870095768306
random_seed_1,reference_total_yield_rf,558,592.567600548627,838.3358782054279,0.9916967738235075
random_seed_2,reference_total_yield_rf,558,637.7797121695207,893.6211089915103,0.9907971598134382
random_seed_3,reference_total_yield_rf,558,567.8084544368456,814.9705314941009,0.9920230976761627
random_seed_4,reference_total_yield_rf,558,615.0412917101025,856.4777637852466,0.9909080637053183
