split,model,n,MAE,RMSE,R2
leave_hectares_1_out,corrected_per_hectare_rf,250,136.6684954398481,162.01251251180665,-0.0548673568795186
leave_hectares_2_out,corrected_per_hectare_rf,399,273.30213091927425,330.6094594391457,-0.06965012635362511
leave_hectares_3_out,corrected_per_hectare_rf,490,409.0359185972333,486.50018931440263,-0.07107679398525324
leave_hectares_4_out,corrected_per_hectare_rf,600,1614.9285086283003,1780.4519822320628,-2.0319179440837596
leave_hectares_5_out,corrected_per_hectare_rf,850,821.0525330887837,1030.2069085287294,-0.44894914799533914
leave_hectares_6_out,corrected_per_hectare_rf,200,1449.2605611622193,1885.1581017211606,-0.3031093754187755
