split,model,n,MAE,RMSE,R2
random_seed_0,corrected_per_hectare_rf,558,558.0587253741351,757.2087404896354,0.9934739589389049
random_seed_1,corrected_per_hectare_rf,558,570.1214786217604,800.1649852575274,0.9924356807817767
random_seed_2,corrected_per_hectare_rf,558,609.7270994885848,847.7549503173923,0.9917176093443232
random_seed_3,corrected_per_hectare_rf,558,549.7613128058302,784.6279453195215,0.992606024498945
random_seed_4,corrected_per_hectare_rf,558,604.2058682718085,852.5223646368859,0.9909918468411056
